FirstName,LastName,Pesel,BloodTypes,BloodGroup,Date,DonatedBloodDate
Evvie,Kisting,21690366506,0,0,13/9/2018,418
Viola,Lorant,50173722740,1,0,10/9/2018,355
Robbi,de Mullett,66711399594,1,0,11/11/2018,402
Cloris,Forstall,35919329342,0,1,11/2/2019,420
Donni,Dowdall,60838210040,0,3,11/4/2019,340
Daveen,Hugo,41828074661,1,3,22/4/2019,331
Adrian,Bower,48142330944,1,2,23/4/2019,365
Emerson,Myhan,85427759677,0,1,11/4/2019,371
Nichol,Mansfield,33567745154,0,3,26/5/2018,443
Gale,Boulde,19149659979,0,3,28/9/2018,303
Linus,Higounet,58343003467,0,1,7/9/2018,439
Eddy,Dikles,19056822460,0,0,8/9/2018,337
Dinah,Huxton,04790364302,1,2,17/5/2018,366
Olav,Tacon,20295298186,0,0,23/8/2018,428
Crysta,Stit,59632368051,1,1,13/12/2018,364
Elly,Triswell,96816316523,1,1,26/10/2018,341
Mahalia,Ward,06477046012,0,0,31/5/2018,317
Lilith,Wandrack,35999967475,1,1,11/12/2018,337
Sammie,Salmond,12428382904,1,3,1/9/2018,303
Virgie,Kedge,26242374429,1,2,26/6/2018,371
Parsifal,Proctor,43065692129,1,1,10/5/2018,327
Gayelord,Blundin,19284206868,1,0,3/1/2019,336
Chester,Fillary,00721644049,1,0,19/11/2018,407
Angel,Eady,63320964403,0,2,22/12/2018,449
Cameron,Riehm,03706092743,1,3,27/6/2018,420
