FirstName,LastName,Pesel,BloodTypes,BloodGroup,Date,DonatedBloodDate
Rossy,Mulleary,50332042962,0,1,6/3/2019,449
Tilly,MacCosty,20832219956,0,0,5/7/2018,317
Corey,Trenchard,07660190427,0,0,26/4/2019,326
Dave,Sicely,70435980147,1,0,25/2/2019,399
Yevette,Barok,56875667656,1,0,11/11/2018,344
Golda,Christy,19806817735,1,2,26/5/2018,369
Jean,Petricek,90470971475,0,3,28/12/2018,302
Tobie,Morrott,49888511771,1,0,25/3/2019,368
Cyndi,Floch,43390250533,0,1,7/9/2018,310
Barnabas,Dellit,65808756757,1,0,25/1/2019,328
Elfrieda,Vido,40498521559,0,2,21/12/2018,353
Ewan,Hyndes,97673568464,1,2,15/11/2018,348
Adrianne,Garfath,58147219382,0,0,21/10/2018,345
Noby,Gissop,81840084155,0,3,25/1/2019,436
Anselm,Hughill,42829502759,0,3,11/5/2018,356
Kendre,Biggam,32912399791,0,2,18/11/2018,308
Vale,Redsull,99729810118,0,2,11/11/2018,307
Maribeth,Exall,03774308359,1,3,9/4/2019,411
Sarine,Coombes,63716397885,0,3,24/2/2019,343
Tybi,Keavy,12884858118,1,2,24/8/2018,405
Tamiko,Tytler,97385798105,1,3,14/4/2019,395
Adelaida,Hawkins,54232716861,0,1,11/7/2018,429
Gusta,Pile,54488046167,1,0,28/11/2018,418
Devina,Hemshall,19197285824,1,1,3/6/2018,344
Daloris,Fattorini,80127730574,1,0,13/4/2019,351
